Date,,Cases,Deaths,Recoveries,Active,New Cases
30-01-2020,,1,0,0,1,1
02-02-2020,,2,0,0,2,1
03-02-2020,,3,0,0,3,1
02-03-2020,,6,0,1,5,3
03-03-2020,,9,0,1,8,1
04-03-2020,,32,0,1,31,22
05-03-2020,,33,0,2,31,1
06-03-2020,,34,0,2,33,1
07-03-2020,,37,0,2,35,3
08-03-2020,,43,0,5,38,5
09-03-2020,,50,0,5,45,5
10-03-2020,,60,0,5,55,6
12-03-2020,,73,1,5,67,13
13-03-2020,,81,1,5,75,8
14-03-2020,,97,2,8,87,16
15-03-2020,,107,2,17,88,10
16-03-2020,,118,2,17,99,11
17-03-2020,,137,3,17,117,23
18-03-2020,,151,3,18,130,14
19-03-2020,,173,4,20,149,22
20-03-2020,,227,4,23,200,50
21-03-2020,,283,4,23,256,60
22-03-2020,,360,7,24,329,77
23-03-2020,,445,9,30,406,74
24-03-2020,,519,9,40,469,85
25-03-2020,,606,12,43,553,87
26-03-2020,,694,16,45,633,88
27-03-2020,,834,18,67,749,140
28-03-2020,,918,20,79,820,84
29-03-2020,,1024,27,96,901,106
